neighbourhood_cleansed,listing_count,median_price,mean_price,median_revenue,mean_revenue,median_occupancy,avg_rating,pct_superhost,pct_instant_bookable
Gaasperdam - Driemond,60,147.0,143.93333333333334,4620.0,8308.8,16.0,4.72,0.067,0.317
EIGHTH WARD,12,147.0,147.0,4620.0,4620.0,19.0,4.91,0.417,0.0
FIFTEENTH WARD,15,147.0,147.0,4620.0,4620.0,108.0,4.91,0.8,0.0
FOURTH WARD,17,147.0,147.0,4620.0,4620.0,24.0,4.68,0.118,0.0
FIFTH WARD,19,147.0,147.0,4620.0,4620.0,18.0,4.45,0.053,0.0
FOURTEENTH WARD,29,147.0,147.0,4620.0,4620.0,126.0,4.91,0.724,0.0
Stadspark,106,116.5,131.47169811320754,4532.0,7642.273584905661,30.0,4.72,0.123,0.425
Brederode,104,125.5,148.33653846153845,4458.0,6325.307692307692,18.0,4.69,0.26,0.298
Zurenborg,29,84.0,95.24137931034483,4410.0,5886.827586206897,36.0,4.81,0.379,0.276
Deurne Noord,19,87.0,89.26315789473684,4080.0,5507.473684210527,18.0,4.24,0.158,0.105
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,1003,59.0,77.14556331006979,4068.0,5380.2662013958125,42.0,4.7,0.418,0.651
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,86,56.0,89.79069767441861,3966.0,5620.093023255814,38.0,4.66,0.5,0.605
Groenenhoek,27,100.0,115.07407407407408,3906.0,4098.333333333333,18.0,4.83,0.37,0.222
ΠΕΤΡΑΛΩΝΑ,458,75.0,90.43668122270742,3744.0,6048.600436681223,42.0,4.83,0.502,0.727
Mariaburg,6,111.5,109.83333333333333,3726.0,5131.0,24.0,4.89,0.167,0.0
Nieuw - Kwartier West,18,118.0,131.61111111111111,3620.0,4090.222222222222,17.0,4.85,0.278,0.0
ΝΕΟΣ ΚΟΣΜΟΣ,1174,72.0,94.9335604770017,3615.0,6684.603066439523,42.0,4.81,0.486,0.694
ΚΕΡΑΜΕΙΚΟΣ,432,87.5,236.1689814814815,3510.0,13506.326388888889,36.0,4.76,0.507,0.688
ΠΟΛΥΓΩΝΟ,29,72.0,83.20689655172414,3456.0,2749.3793103448274,18.0,4.87,0.276,0.621
Nieuw - Kwartier Oost,14,111.5,117.92857142857143,3282.0,5931.642857142857,21.0,4.87,0.357,0.071
Markgrave,16,77.5,80.25,3003.0,5587.8125,42.0,4.63,0.375,0.062
ΡΗΓΙΛΛΗΣ,6,106.0,228.83333333333334,2915.0,7392.666666666667,17.0,4.36,0.333,1.0
Hoboken - Centrum,14,74.0,81.92857142857143,2901.0,2925.285714285714,33.0,4.87,0.286,0.214
ΓΟΥΒΑ,107,77.0,91.5607476635514,2880.0,4103.411214953271,30.0,4.71,0.542,0.561
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3253,115.0,154.2883492161082,2832.0,8924.541961266523,18.0,4.78,0.402,0.768
ΠΑΓΚΡΑΤΙ,630,70.5,91.1920634920635,2796.0,4947.019047619047,30.0,4.8,0.468,0.67
ΛΥΚΑΒΗΤΤΟΣ,203,88.0,108.49753694581281,2628.0,4230.669950738917,12.0,4.79,0.414,0.67
ΚΟΛΩΝΑΚΙ,526,114.0,147.96007604562737,2529.0,6332.028517110266,18.0,4.77,0.405,0.692
Centraal Station,129,117.0,5921.46511627907,2502.0,47499.16279069767,14.0,4.57,0.047,0.543
Nong Khaem,8,303.0,589.5,2310.0,2310.0,0.0,4.89,0.0,0.125
Bang Khun thain,16,626.5,1558.75,2310.0,22738.5,0.0,4.8,0.0,0.25
